compound	noun	modifier	nounlemma	modifierlemma	order	number	gender	A-invar	hyphen	link-wiktionnary	freq-frWaC	related-expr	comment	Carlos-annot	examplesent1	examplesent2	examplesent3	regexp-freq	undefdet	etre	avoir	quedet
roulette russe	roulette	russe	roulette	russe	NA	S	F	yes	no	https://fr.wiktionary.org/wiki/roulette_russe	314			NC	Chuck Norris joue à la<strong> roulette russe</strong> avec un chargeur plein.	6 candidats, le revolver sur la tempe s'affrontent à la<strong> roulette russe</strong> !	Ce petit jeu finit par ressembler à de la<strong> roulette russe</strong> !	roulette russe	une	est	a	qu'
petit beurre	beurre	petit	beurre	petit	AN	S	M	no	no	https://fr.wiktionary.org/wiki/petit_beurre	289			NC	Collez les<strong> petits beurres</strong> 2 à 2 avec la crème.	C'est un gâteau avec des <strong>petits-beurres</strong>	Les valeurs nutritionnelles des biscuits sont très différentes selon que ceux-ci sont plus ou moins secs (comme les<strong> petits beurres</strong>) ou bien fourrés de chocolat.	petit beurre	un	est	a	qu'
bras cassé	bras	cassé	bras	cassé	NA	S	M	no	no	https://fr.wiktionary.org/wiki/bras_cass%C3%A9	265			NC	Ces<strong> bras cassés</strong> ne sont pas plus doués que moi en matière de soins  !	Petit bémol, il est nul et joue dans une équipe de<strong> bras cassés</strong>.	Et ben, vous me faites une belle équipe de<strong> bras cassés</strong>.	bras cassé	un	est	a	qu'
septième ciel	ciel	septième	ciel	septième	AN	S	M	yes	no	https://fr.wiktionary.org/wiki/septi%C3%A8me_ciel	245			NC	Une minute après, j'étais au<strong> septième ciel</strong>.	Les rapports sexuels ne sont pas du tout la seule façon de toucher au<strong> septième ciel</strong>.	Tous vos besoins de sensualité s'en trouvent comblés et vous pensez avoir atteint le<strong> septième ciel</strong>.	septième ciel	un	est	a	qu'
club privé	club	privé	club	privé	NA	S	M	no	no	XX	224			C	Je vous propose de rejoindre notre<strong> club privé</strong> gratuitement.	Ils découvrent que la victime et son mari fréquentaient un<strong> club privé</strong> échangiste.	D'autres gens d'affaires en font partie, dont certains qui fréquentent le<strong> club privé</strong> très sélect Mont-Royal.	club privé	un	est	a	qu'
pièce montée	pièce	montée	pièce	monté	NA	S	F	no	no	https://fr.wiktionary.org/wiki/pi%C3%A8ce_mont%C3%A9e	214			NC	Pour fabriquer une<strong> pièce montée</strong>, il met 5 heures.	Pour la<strong> pièce montée</strong>, j'ai décoré les macarons nutella de petites feuilles dorées.	Quand les tartelettes seront tièdes, empile-les pour faire une petite<strong> pièce montée</strong>.	pièce monté	une	est	a	qu'
petit salé	salé	petit	salé	petit	AN	S	M	no	no	https://fr.wiktionary.org/wiki/petit_sal%C3%A9	203			NC	Coupez le<strong> petit salé</strong> en dés.	Mettre les lentilles entourées des morceaux de<strong> petit salé</strong> dans un plat creux.	Dans une large marmite, chauffez l'huile et faites revenir les dés de<strong> petit salé</strong>.	petit salé	un	est	a	qu'
eau-forte	eau	forte	eau	fort	NA	S	F	no	yes	https://fr.wiktionary.org/wiki/eau-forte	202			NC	Elle est ensuite débarrassée de l'encre protectrice et gravée à l'<strong>eau forte</strong>.	Mes gouaches, aquarelles, pastels, <strong>eau fortes</strong>, et dessins feront partie d'un projet en perspective.	Il maîtrise très vite la peinture à l'huile, l'<strong>eau forte</strong>, et se consacre surtout aux natures mortes.	eau fort	une	est	a	qu'
petit-nègre	nègre	petit	nègre	petit	AN	S	M	no	yes	https://fr.wiktionary.org/wiki/petit-n%C3%A8gre	184			NC	Haddock est maintenant le seul à parler en<strong> petit nègre</strong>	Des esprits chagrins ont reproché à hergé de faire parler les africains en<strong> petit nègre</strong>.	Pas facile de choisir une randonnée dans un massif inconnu, en 30 mn, en parlant<strong> petit nègre</strong> !	petit nègre	un	est	a	qu'
bonne poire	poire	bonne	poire	bon	AN	S	F	no	no	https://fr.wiktionary.org/wiki/bonne_poire	162			NC	Mais j'ai l'impression que si vous êtes<strong> bonne poire</strong> tendance pigeonne, laissez tomber.	Celle-ci est un peu nunuche, gaffeuse,<strong> bonne poire</strong> quoi !	Et oui, avant j'étais la<strong> bonne poire</strong> qui acceptait tout mais maintenant tout cela a changé.	bon poire	une	est	a	qu'
petite nature	nature	petite	nature	petit	AN	S	F	no	no	https://fr.wiktionary.org/wiki/petite_nature	128			NC	Elle devait avoir une<strong> petite nature</strong> !	Pour une<strong> petite nature</strong>, tu te débrouilles plutôt bien !	Tout à l'heure la lune éclairait entièrement le cimetière, le rendant assez effrayant pour les<strong> petites natures</strong>.	petit nature	une	est	a	qu'
poule mouillée	poule	mouillée	poule	mouillé	NA	S	F	no	no	https://fr.wiktionary.org/wiki/poule_mouill%C3%A9e	124			NC	Mais tu es vraiment une<strong> poule mouillée</strong>, pousse toi, je suis plus fort.	Il m'a l'air de se comporter comme une<strong> poule mouillée</strong>, un incapable.	Certaines<strong> poules mouillées</strong> socialistes ont peur de passer pour des ringards.	poule mouillé	une	est	a	qu'
trou normand	trou	normand	trou	normand	NA	S	M	no	no	https://fr.wiktionary.org/wiki/trou_normand	115			NC	Le<strong> trou normand</strong> était un granité d'abricot au Cointreau.	Il existe maintenant des variantes au<strong> trou normand</strong> traditionnel.	Mettez à glacer au freezer et servez en coupes décorées de brins d'estragon soit en entrée soit en<strong> trou normand</strong>.	trou normand	un	est	a	qu'
partie fine	partie	fine	partie	fin	NA	S	F	no	no	https://fr.wiktionary.org/wiki/partie_fine	99			NC	Il a ainsi eu la surprise de voir des photos d'une<strong> partie fine</strong> avec des gens connus.	Sabina est la maîtresse d'un ministre anglais qui l'emmène volontiers dans les<strong> parties fines</strong> organisées par ses amis aristocrates.	Un certain nombre d'évêques et de prêtres sont friands de<strong> parties fines</strong>.	partie fin	une	est	a	qu'
téléphone arabe	téléphone	arabe	téléphone	arabe	NA	S	M	yes	no	https://fr.wiktionary.org/wiki/t%C3%A9l%C3%A9phone_arabe	93			NC	Avec le<strong> téléphone arabe</strong>, ça peut revenir aux oreilles de votre boss	Le peuple, mis rapidement au courant par le<strong> téléphone arabe</strong>, afflua en nombre.	Comme pour le jeu du<strong> téléphone arabe</strong>, ce projet sera transmis successivement aux deux professeurs.	téléphone arabe	un	est	a	qu'
