compound	noun	modifier	nounlemma	modifierlemma	order	number	gender	A-invar	hyphen	freq-brWaC	related-expr	comment	Aline-annot	examplesent1	examplesent2	examplesent3	regexp-freq	undefdetHead	undefdet	ser	ter	link-wiktionnary					
roda gigante	roda	gigante	roda	gigante	NA	S	F	yes	no	899			NC	São <strong>rodas gigante</strong>, trens de ferro, carrosséis.	A mais nova <strong>roda gigante</strong> de Londres provou ser um sucesso imediato.	A London Eye entrou para o Guinness, como a maior <strong>roda gigante</strong> do mundo.	roda gigante	uma	uma	é	tem	https://pt.wiktionary.org/wiki/roda_gigante					
roleta russa	roleta	russa	roleta	russo	NA	S	F	no	no	494			NC	De rejeição as eleições em São Paulo viraram uma espécie de <strong>roleta russa</strong>.	É uma <strong>roleta russa</strong> com todas as balas no revólver, feita pelos partidos.	São duas horas de risadas, choros, nervosismo e uma <strong>roleta russa</strong> de emoções e sentimentos.	roleta russo	uma	uma	é	tem	https://pt.wikipedia.org/wiki/Roleta_russa					
saia justa	saia	justa	saia	justo	NA	S	F	no	no	1563			NC	Que <strong>saia justa</strong>, muito constrangida tive que recusar.	Agora, está em uma tremenda <strong>saia justa</strong> para julgar os demais casos.	De essa vez, o presidente norte-americano foi alvo de diversas insatisfações e <strong>saias justas</strong>.	saia justo	uma	uma	é	tem	https://pt.wiktionary.org/wiki/saia#Express.C3.B5es					
sala cirúrgica	sala	cirúrgica	sala	cirúrgico	NA	S	F	no	no	37			C	Em essas instituições, leitos e <strong>salas cirúrgicas</strong> estão subutilizados.	Os primeiros estudantes da faculdade de medicina estagiaram em seus ambulatórios e <strong>salas cirúrgicas</strong>.	Serão 100 novos leitos, 10 <strong>salas cirúrgicas</strong>, 10 CTIs e mais espaço para hemodiálise eletiva.	sala cirúrgico	uma	uma	é	tem	https://pt.wikipedia.org/wiki/Sala_de_cirurgia					
salão paroquial	salão	paroquial	salão	paroquial	NA	S	M	no	no	98			C	Os <strong>salões paroquiais</strong> são importantes centros de decisão informal.	Lá íamos nós para os <strong>salões paroquiais</strong>, as igrejas, os clubes.	Este prédio, que é o <strong>salão paroquial</strong> foi idealizado pelo padre Edir, já falecido.	salão paroquial	um	um	é	tem	XX					
sangue azul	sangue	azul	sangue	azul	NA	S	M	yes	no	585			NC	Pelo menos no marketing, Sir Richard Branson tem <strong>sangue azul</strong>: ele é o rei do marketing.	Ainda mais curioso, Washington não fora o único presidente americano a ter <strong>sangue azul</strong>.	É o espírito nobre das pessoas, o chamado "<strong>sangue azul</strong>", o poder de liderança.	sangue azul	<!--x-->	<!--x-->	é	tem	https://pt.wiktionary.org/wiki/sangue_azul					
sangue frio	sangue	frio	sangue	frio	NA	S	M	no	no	6577			NC	Assassinado em estilo de execução a <strong>sangue frio</strong>.	O assassinato de 11 deputados colombianos a <strong>sangue frio</strong>!	Carminha não mataria a <strong>sangue frio</strong> o homem que amava.	sangue frio	<!--x-->	<!--x-->	é	tem	https://pt.wiktionary.org/wiki/sangue#Express.C3.B5es					
sangue quente	sangue	quente	sangue	quente	NA	S	M	yes	no	578			NC	Sim, ele tem o <strong>sangue quente</strong> espanhol!	A hispânia é um local cheio de pessoas de <strong>sangue quente</strong> e turistas.	Não, tem de reclamar agora, com o <strong>sangue quente</strong> mesmo, isso é um absurdo!	sangue quente	<!--x-->	<!--x-->	é	tem	https://pt.wiktionary.org/wiki/sangue#Express.C3.B5es					
secretária eletrônica	secretária	eletrônica	secretário	eletrônico	NA	S	F	no	no	256			PC	Não há emails na caixa de entrada, não há recados na <strong>secretária eletrônica</strong> e mesmo assim, você entende a mensagem.	Finja ser uma <strong>secretária eletrônica</strong>, do pior jeito que você conseguir para ele perceber que está falando com um louco.	Ser breve, não abusar das ligações pessoais e responder às mensagens na <strong>secretária eletrônica</strong> no prazo máximo de 24 horas	secretária eletrônica	uma	uma	é	tem	https://pt.wiktionary.org/wiki/secret%C3%A1ria_eletr%C3%B4nica					
segundas intenções	intenções	segundas	intenção	segundo	AN	P	F	no	no	1822			NC	Não tem malícia e muito menos <strong>segundas intenções</strong>.	Ele manda uma cartinha meio sacana, cheia de <strong>segundas intenções</strong>.	Padre com má-fé e com <strong>segundas intenções</strong> é duro de engolir.	segundo intenção	<!--x-->	<!--x-->	são	têm	http://www.priberam.pt/dlpo/segundas%20inten%C3%A7%C3%B5es					
segundo plano	plano	segundo	plano	segundo	AN	S	M	no	no	14972			NC	Para Júlio, tudo o mais estava em <strong>segundo plano</strong>.	A obediência está sendo relegada a <strong>segundo plano</strong>.	Os aspectos táticos e técnicos ficaram em <strong>segundo plano</strong>.	segundo plano	um	um	é	tem	https://pt.wiktionary.org/wiki/plano#Express.C3.B5es					
sentença judicial	sentença	judicial	sentença	judicial	NA	S	F	yes	no	150			C	Em 2004 saiu uma <strong>sentença judicial</strong> favorável aos moradores.	A indenização deverá ser determinada por <strong>sentença judicial</strong>.	O valor inclui vencimentos, encargos sociais e pagamentos de <strong>sentenças judiciais</strong>.	sentença judicial	uma	uma	é	tem						
sétima arte	arte	sétima	arte	sétimo	AN	S	F	no	no	1078			PC	Devo sem dúvida a essa precocidade cinéfila minha paixão pela <strong>sétima arte</strong>.	Como já disseram, o filme não é o supra sumo da <strong>sétima arte</strong>.	Esta cena é reverenciada hoje como um dos grandes momentos da <strong>sétima arte</strong>.	sétimo arte	uma	a	é	tem	https://pt.wiktionary.org/wiki/s%C3%A9tima_arte					
sexto sentido	sentido	sexto	sentido	sexto	AN	S	M	no	no	765			NC	Foi um dia pesaroso, um <strong>sexto sentido</strong> me alertava que uma coisa ruim puxa outra.	O <strong>sexto sentido</strong> é a percepção do outro energicamente.	E através da intuição, desenvolvendo o <strong>sexto sentido</strong> e a plenitude do amor e da compaixão.	sexto sentido	um	um	é	tem	http://www.priberam.pt/dlpo/sexto%20sentido					
sinal verde	sinal	verde	sinal	verde	NA	S	M	yes	no	2229			NC	Agora, basta o <strong>sinal verde</strong> da prefeitura em questão.	Rony deu <strong>sinal verde</strong> para o combate.	Em seguida, a justiça francesa dá <strong>sinal verde</strong> para a extradição.	sinal verde	um	um	é	tem	https://pt.wiktionary.org/wiki/sinal#Express.C3.B5es					
sistema político	sistema	político	sistema	político	NA	S	M	no	no	1436			C	E um <strong>sistema político</strong> corrupto e clientelista.	É de todos os partidos do <strong>sistema político</strong> brasileiro.	O franquismo foi um <strong>sistema político</strong> repressivo e autoritário.	sistema político	um	um	é	tem						
tapete vermelho	tapete	vermelho	tapete	vermelho	NA	S	M	no	no	2078			NC	Claro que eles arrasaram no <strong>tapete vermelho</strong>.	Além disso, Daniel Cardoso fará as entrevistas direto do <strong>tapete vermelho</strong>.	O canal TNT também está transmitindo direto do <strong>tapete vermelho</strong>.	tapete vermelho	um	um	é	tem	https://pt.wikipedia.org/wiki/Tapete_vermelho					
tartaruga-marinha	tartaruga	marinha	tartaruga	marinho	NA	S	F	no	yes	17			C	Conhecer as características principais da <strong>tartaruga marinha</strong> e da baleia jubarte.	Continuação da aventura da <strong>tartaruga marinha</strong> Sammy, que é capturada por humanos e levada para um aquário submarino.	Os ambientalistas optaram por realizar passeatas multicoloridas, vestidos de <strong>tartaruga marinha</strong>.	tartaruga-marinha	uma	uma	é	tem						
tela plana	tela	plana	tela	plano	NA	S	F	no	no	57			C	Há moradores de favela com três televisores de <strong>tela plana</strong>.	Novos monitores de <strong>tela plana</strong> foram usados, usando menos espaço e deixando a ponte com um visual mais limpo.	Hoje ela tem tv de <strong>tela plana</strong>, dvd e máquina de lavar roupas.	tela plana	uma	uma	é	tem						
tempo real	tempo	real	tempo	real	NA	S	M	yes	no	30381			C	Acompanhe as projeções em <strong>tempo real</strong>.	É um monitoramento em <strong>tempo real</strong>.	Colaboração em <strong>tempo real</strong> com outros utilizadores;	tempo real	um	um	é	tem	https://pt.wikipedia.org/wiki/Tempo_real					
terceira idade	idade	terceira	idade	terceiro	AN	S	F	no	no	4390			PC	Criaram-se creches e centros de <strong>terceira idade</strong>.	Empresa fabrica produtos ortopédicos para a <strong>terceira idade</strong>.	Vi até uma senhora de <strong>terceira idade</strong> de triciclo.	terceiro idade	uma	uma	é	tem	http://www.priberam.pt/DLPO/terceira%20idade					
terceira pessoa	pessoa	terceira	pessoa	terceiro	AN	S	F	no	no	11536			PC	O Guimarães Rosa se tratava na <strong>terceira pessoa</strong>.	E você pode alternar entre primeira e <strong>terceira pessoa</strong>.	Um exemplo de história em <strong>terceira pessoa</strong> é o Grande Gatsby de F. Scott Fitzgerald.	terceiro pessoa	uma	uma	é	tem	https://pt.wiktionary.org/wiki/terceira_pessoa					
tiro livre	tiro	livre	tiro	livre	NA	S	M	yes	no	1243			C	A infração resulta em <strong>tiro livre</strong> indireto para o adversário.	Todos os <strong>tiros livres</strong> são diretos e sem barreira da equipe adversária.	Renan cobrou o <strong>tiro livre</strong> na trave e desperdiçou ótima oportunidade de marcar.	tiro livre	um	um	é	tem	https://pt.wikipedia.org/wiki/Tiro_livre					
trabalho braçal	trabalho	braçal	trabalho	braçal	NA	S	M	no	no	402			C	Entre uma idéia e sua realização existe o <strong>trabalho braçal</strong>.	Avessos a <strong>trabalhos braçais</strong>, os americanos deixam o serviço perigoso para imigrantes.	Os que fazem <strong>trabalho braçal</strong> ao ar livre, talvez não necessitem de mais exercícios.	trabalho braçal	um	um	é	tem	https://pt.wiktionary.org/wiki/trabalho_bra%C3%A7al					
trabalho escravo	trabalho	escravo	trabalho	escravo	NA	S	M	no	no	19447			C	As fundações foram, igualmente, construídas por <strong>trabalho escravo</strong>.	A expropriação de propriedades onde for encontrado <strong>trabalho escravo</strong>.	Utilizam-se muito deles para promover <strong>trabalho escravo</strong>.	trabalho escravo	um	um	é	tem	https://pt.wikipedia.org/wiki/Escravid%C3%A3o					
vaca louca	vaca	louca	vaca	louco	NA	S	F	no	no	2901	doença da vaca louca		NC	Depois surgiram a doença da <strong>vaca louca</strong> e a gripe do frango.	E pela ingestão de carne contaminada pela doença da <strong>vaca louca</strong>.	A doença da <strong>vaca louca</strong> apareceu quando o gado foi obrigado a se canibalizar.	vaca louco	uma	uma	é	tem	https://pt.wiktionary.org/wiki/doen%C3%A7a_da_vaca_louca					
vinho branco	vinho	branco	vinho	branco	NA	S	M	no	no	1395			C	Pra beber, <strong>vinho branco</strong>.	Prosecco nada mais é que tipo de <strong>vinho branco</strong> espumante.	Ponha meio copo de <strong>vinho branco</strong> seco e deixe evaporar.	vinho branco	um	um	é	tem	https://pt.wiktionary.org/wiki/vinho_branco					
vinho tinto	vinho	tinto	vinho	tinto	NA	S	M	no	no	2180			C	Combina perfeitamente com <strong>vinho tinto</strong> Pinot Noir.	Frutas vermelhas marinadas no <strong>vinho tinto</strong>.	Se você comprou um queijo menos maduro, escolha um <strong>vinho tinto</strong> encorpado.	vinho tinto	um	um	é	tem	https://pt.wiktionary.org/wiki/vinho_tinto					
vista grossa	vista	grossa	vista	grosso	NA	S	F	no	no	2988	fazer vista grossa		NC	O governo fez <strong>vista grossa</strong> e deixou a coisa rolar.	Aqueles que criticam Malafaia fazem <strong>vista grossa</strong> a outros graves pecados.	Não faça <strong>vista grossa</strong> para crimes, por menores que sejam.	vista grosso	uma	uma	é	tem	https://pt.wiktionary.org/wiki/fazer_vista_grossa					
viva voz	voz	viva	voz	vivo	AN	S	F	no	no	617			NC	Esses convidados nem sempre podem participar de <strong>viva voz</strong>;	Hoje é a última vez que eu vou falar com você em <strong>viva voz</strong>.	Desafio qualquer pessoa a dizer que eu recomendei voto no Serra, que recomendei por escrito ou de <strong>viva voz</strong> o voto no Serra.	vivo voz	uma	um	é	tem	https://pt.wiktionary.org/wiki/voz#Express.C3.B5es					
vôo doméstico	vôo	doméstico	vôo	doméstico	NA	S	M	no	no	3415			C	O aeroporto internacional oferece <strong>vôos domésticos</strong>, europeus e transatlânticos.	O site tem uma lista de todos os <strong>vôos domésticos</strong> e internacionais, duração e preços.	Os <strong>vôos domésticos</strong> são normalmente de Sydney, Melbourne, Brisbane, Adelaide e Perth.	vôo doméstico	um	um	é	tem						
vôo internacional	vôo	internacional	vôo	internacional	NA	S	M	no	no	1518			C	A agência nacional de vigilância sanitária tem como localizar quem viajou com os doentes, pois vinha recolhendo as guias de declaração de bagagens em <strong>vôos internacionais</strong>.	A Pan-Am, outra gigante, só operava <strong>vôos internacionais</strong>.	Esse destino se acrescenta a malha de <strong>voos internacionais</strong> da TAM.	vôo internacional	um	um	é	tem						
voto secreto	voto	secreto	voto	secreto	NA	S	M	no	no	219			C	As eleições são realizadas por <strong>voto secreto</strong>.	A aliança pregava a justiça trabalhista, o <strong>voto secreto</strong> e o voto feminino.	O <strong>voto secreto</strong> era de absoluta necessidade, assim como o voto feminino.	voto secreto	um	um	é	tem						
